000, 199, 400199P, 12.49, 1
200, 249, 420249P, 13.49, 1
250, 299, 450299P, 13.49, 1
300, 349, 430349P, 14.19, 1
350, 399, 435399P, 14.49, 1
400, 449, 440499P, 15.49, 1
450, 499, 450499P, 15.49, 1
500, 549, 450549P, 16.49, 1
550, 599, 450559P, 16.49, 1
600, 649, 460649P, 17.99, 1
650, 699, 460699P, 17.99, 1
700, 749, 470799P, 18.99, 1
750, 799, 475799P, 19.99, 1
800, 899, 480899P, 24.99, 1
900, 999, 490999P, 25.99, 1
